ISIN,Scrip Name,Free Qty,Current Qty,Freeze Qty,Locked Qty,Pledge Qty,Value Date,Rate,Valuation
INE769A01020,AARTI IND-EQ RS.5,56.0000,56.0000,0.0000,0.0000,0.0000,06-05-2024,749.5500,41974.8000
INE117A01022,ABB INDIA LTD-EQ RS2,10.0000,10.0000,0.0000,0.0000,0.0000,06-05-2024,6942.3000,69423.0000
INE731H01025,ACTION CONST-EQ RS 2,70.0000,70.0000,0.0000,0.0000,0.0000,06-05-2024,1432.7500,100292.5000
INE079A01024,AMBUJA CEMENTS EQ,55.0000,55.0000,0.0000,0.0000,0.0000,06-05-2024,605.9500,33327.2500
INE372A01015,APAR INDUSTRIES EQTY,5.0000,5.0000,0.0000,0.0000,0.0000,06-05-2024,7694.5500,38472.7500
INE263A01024,BHARAT ELECTRONIC-EQ,377.0000,377.0000,0.0000,0.0000,0.0000,06-05-2024,231.7000,87350.9000
INE257A01026,BHARAT HEAVY - EQ 2,550.0000,550.0000,0.0000,0.0000,0.0000,06-05-2024,289.0000,158950.0000
INE029A01011,BPCL EQUITY,82.0000,82.0000,0.0000,0.0000,0.0000,06-05-2024,610.0500,50024.1000
INE522F01014,COAL INDIA LTD-EQ,152.0000,152.0000,0.0000,0.0000,0.0000,06-05-2024,460.4500,69988.4000
INE111A01025,CONTAINER CORP-EQ5/-,34.0000,34.0000,0.0000,0.0000,0.0000,06-05-2024,1032.5500,35106.7000
INE298A01020,CUMMINS INDIA-RS 2/-,13.0000,13.0000,0.0000,0.0000,0.0000,06-05-2024,3410.0000,44330.0000
INE089A01023,DR. REDDYS LAB-RS.5/,5.0000,5.0000,0.0000,0.0000,0.0000,06-05-2024,6300.8000,31504.0000
INE205B01023,ELECON ENG-EQ RS 2/-,26.0000,26.0000,0.0000,0.0000,0.0000,06-05-2024,1060.4000,27570.4000
INE481Y01014,GENERAL INSURANCE-EQ,89.0000,89.0000,0.0000,0.0000,0.0000,06-05-2024,331.8000,29530.2000
INE03Q201024,GLENMARK LIFE-EQ2/-,42.0000,42.0000,0.0000,0.0000,0.0000,06-05-2024,829.3000,34830.6000
INE066F01020,HINDUSTAN AERO-EQ5/-,26.0000,26.0000,0.0000,0.0000,0.0000,06-05-2024,3817.3000,99249.8000
INE919H01018,INDIAN METALS - EQ,55.0000,55.0000,0.0000,0.0000,0.0000,06-05-2024,723.7500,39806.2500
INE242A01010,INDIAN OIL CORP EQ,233.0000,233.0000,0.0000,0.0000,0.0000,06-05-2024,166.3000,38747.9000
INE053F01010,INDIAN RAILWAY-EQ,610.0000,610.0000,0.0000,0.0000,0.0000,06-05-2024,155.7000,94977.0000
INE758E01017,JIO FINANCIAL -EQ,89.0000,89.0000,0.0000,0.0000,0.0000,06-05-2024,370.3500,32961.1500
INE04I401011,KPIT TECHNOLOGIES-EQ,34.0000,34.0000,0.0000,0.0000,0.0000,06-05-2024,1515.0000,51510.0000
INE0J1Y01017,LIFE INSURANCE-EQ,42.0000,42.0000,0.0000,0.0000,0.0000,06-05-2024,933.6500,39213.3000
INE473A01011,LINDE INDIA LTD EQTY,5.0000,5.0000,0.0000,0.0000,0.0000,06-05-2024,8388.0500,41940.2500
INE281B01032,LLOYDS METALS-EQ,40.0000,40.0000,0.0000,0.0000,0.0000,06-05-2024,690.8000,27632.0000
INE101A01026,MAH & MAH EQ RS 5/-,21.0000,21.0000,0.0000,0.0000,0.0000,06-05-2024,2224.7000,46718.7000
INE213A01029,ONGC-EQ-RS.5/-,144.0000,144.0000,0.0000,0.0000,0.0000,06-05-2024,282.0000,40608.0000
INE134E01011,POWER FIN CORP -EQ,41.0000,41.0000,0.0000,0.0000,0.0000,06-05-2024,437.5500,17939.5500
INE752E01010,POWER GRID CORP - EQ,118.0000,118.0000,0.0000,0.0000,0.0000,06-05-2024,306.9000,36214.2000
INE415G01027,RAIL VIKAS NIGAM-EQ,199.0000,199.0000,0.0000,0.0000,0.0000,06-05-2024,276.5000,55023.5000
INE834M01019,RATTANINDIA ENTER-EQ,446.0000,446.0000,0.0000,0.0000,0.0000,06-05-2024,72.5400,32352.8400
INE020B01018,REC LTD - EQ,230.0000,230.0000,0.0000,0.0000,0.0000,06-05-2024,516.6500,118829.5000
INE114A01011,SAIL EQUITY SHARES,233.0000,233.0000,0.0000,0.0000,0.0000,06-05-2024,162.9500,37967.3500
INE386D01027,SHIVALIK BIMETL RS2,55.0000,55.0000,0.0000,0.0000,0.0000,06-05-2024,565.6000,31108.0000
INE721A01013,SHRIRAM FIN LTD-EQ,13.0000,13.0000,0.0000,0.0000,0.0000,06-05-2024,2546.0500,33098.6500
INE483C01032,TANLA PLATFORM-EQ1/-,34.0000,34.0000,0.0000,0.0000,0.0000,06-05-2024,893.6000,30382.4000
INE692A01016,UNION BANK OF INDIA,144.0000,144.0000,0.0000,0.0000,0.0000,06-05-2024,147.6500,21261.6000
INE226A01021,VOLTAS - EQ RE 1/-,21.0000,21.0000,0.0000,0.0000,0.0000,06-05-2024,1447.2000,30391.2000
INE075A01022,WIPRO EQUITY - RS 2,72.0000,72.0000,0.0000,0.0000,0.0000,06-05-2024,458.2500,32994.0000
INE251B01027,ZEN TECHNOL-EQ,89.0000,89.0000,0.0000,0.0000,0.0000,06-05-2024,1033.5000,91981.5000
